Filename,Protocole,echantillon,Impacts potentiels,Extrait pertinent,Évaluation d'invasivité,Justification d'invasivité,Péchés identifiés,Taux de confiance,annonce_invasivite,justification_annonce_invasivite
"Non-invasive genetic sampling reveals diet shifts, but little difference in endoparasite richness an",Échantillonnage opportuniste de fèces,Fèces,[],"['We collected these reference samples at the Belize Zoo', 'through opportunistic sampling from road-killed animals observed during the scat surveys']",Non invasif,"L'échantillonnage est décrit comme opportuniste, ce qui signifie qu'il n'y a pas de collecte systématique ou exhaustive. De plus, les échantillons sont prélevés sur des animaux tués sur la route, donc il n'y a pas de contact direct avec l'animal vivant ni perturbation du comportement naturel.",[],"80% - La méthodologie est détaillée, mais il manque des informations sur la fréquence et l'intensité de l'échantillonnage.",,
Journal of Zoology - 2015 - Guimaraes - Owl pellets  a wise DNA source for small mammal genetics,Échantillonnage de fèces de rapaces,Fèces,"['Perturbation du comportement naturel', 'Impact sur le marquage territorial']","['Since pellets of raptors are an excellent source of microvertebrate skeletal material, they could also be a rich and convenient source for phylogenetic and phylogeographic studies, provided DNA is sufficiently preserved.', 'We analyzed four pellets from different sites...', 'The pellet collected in 1984...', 'The pellets from Berrechid were collected...']",Invasif,"Le protocole mentionne la collecte de fèces, ce qui peut être invasif selon les règles spécifiques aux mammifères. Bien que le texte indique que les pellets sont une source riche pour l'analyse phylogénétique et phylogéographique, il n'y a pas d'indication que la collecte soit opportuniste ou ponctuelle.",[1],85% - Implicite fort,Non,Le titre de l'article ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que ce protocole est non invasif.
Molecular Ecology Resources - 2014 - Silva - Genetic identification of endangered North African ungulates using noninvasive,Échantillonnage de fèces non invasif,Fèces,[],"['A total of 456 noninvasive samples, comprising 415 scats (...) were subjected to total DNA extraction.', ""Scats scattered by the wind were discarded. Scats were putatively classified as 'fresh' if mucus was observable or as 'old' if not.""]",Non invasif,"Le protocole mentionne explicitement que les échantillons sont non invasifs et que seuls les fèces dispersés par le vent ont été écartés. Il n'y a pas de capture ou manipulation des animaux, ni d'utilisation d'appâts ou leurres.",['2'],100% - La méthodologie est explicitement détaillée et les termes utilisés sont clairs.,,
Molecular Ecology Resources - 2014 - Silva - Genetic identification of endangered North African ungulates using noninvasive,Échantillonnage de poils non invasif,Poils,[],"['Hairs (...), samples were extracted using the QIAamp DNA Micro Kit (Qiagen ).']",Non invasif,Les poils sont considérés comme non invasifs car ils sont naturellement perdus par les animaux. Il n'y a pas de mention de capture ou de manipulation des animaux.,[],"80% - La méthodologie est explicitement mentionnée, mais il manque des informations sur la fréquence et l'intensité de l'échantillonnage.",,
American J Primatol - 2013 - Barelli - Extra‐pair paternity confirmed in wild white‐handed gibbons,Collecte et extraction d'ADN à partir de fèces,Fèces,"[""Stress potentiellement causé à l'animal""]","['We collected about 10 g of feces from target animals using disposable gloves directly after an individual had defecated.', 'Between 1996 and 2005, UR, CB and colleagues collected 656 feces preserved in 70% ethanol [Kohn et al., 1995] or RNAlater (Ambion) [Nsubuga et al., 2004], or dried in silica gel beads [Wasser et al., 1997].', 'In addition, between 2010 and 2011, K.M. collected 320 feces using the two-step storage method [Matsudaira et al., 2013;Nsubuga et al., 2004].']",Invasif,"Le protocole implique la collecte de fèces directement après que l'animal ait déféqué, ce qui nécessite un contact direct avec l'animal vivant et une manipulation de ses fèces. Cela remplit donc le critère d'invasivité.",[],100% - La méthodologie est explicitement détaillée et les termes utilisés sont clairs.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Il n'y a pas de phrase indiquant explicitement que ce protocole est non invasif dans le corps de l'article.
American J Primatol - 2013 - Barelli - Extra‐pair paternity confirmed in wild white‐handed gibbons,Confirmation de génotypes STR à partir de fèces,Fèces,[],"['For 69.5% of samples (N = 57), STR genotypes were confirmed from two or more independent feces.']",Non invasif,"Le protocole mentionne l'utilisation de fèces indépendantes, ce qui indique que les échantillons ont été prélevés naturellement et sans manipulation ou capture des animaux. Il n'y a pas de signes d'une collecte systématique ou exhaustive.",['2'],100% - L'extrait est explicite et ne laisse pas de place à l'interprétation.,,
American J Primatol - 2013 - Barelli - Extra‐pair paternity confirmed in wild white‐handed gibbons,Extraction d'ADN à partir de fèces desséchées,Fèces,[],"['DNA was extracted using a QIAamp® DNA Stool Mini Kit (Qiagen, Germany).']",Non invasif,"Le protocole décrit l'utilisation de fèces desséchées prélevées à la surface, ce qui est considéré comme non invasif selon les règles spécifiques aux mammifères. Il n'y a pas de mention de capture ou de manipulation des animaux.",['1'],95% - La méthodologie est explicitement détaillée et ne présente pas d'informations manquantes critiques.,,
Noninvasive genotyping of common marmoset (Callithrix jacchus) by fingernail PCR,Échantillonnage d'ADN chez les marmosets vivants et morts,"Sang périphérique, biopsie de l'oreille, tissu de l'ongle, tissus divers","[""Stress pour l'animal"", 'Blessures potentielles', 'Stress potentiellement subi par les animaux lors de la capture ou manipulation']","['Samples including peripheral blood, ear biopsy punches, and fingernail tissue were collected from living marmosets (#1-4).', 'Peripheral blood samples (100 ll) were taken from the femoral vein without sedation using a heparinized syringe.', 'Ear punch biopsy specimens were obtained from the auricle under ketamine anesthesia using a KN-293 ear puncher (2.0 mm diameter: Natsume Seisakusho, Tokyo, Japan).', 'Approximately 2-or 1.5-mm fingernail fragments were clipped from the finger claw without sedation (Figs. 1,4a,b). The fingernails were wiped with ethanol-impregnated cotton, and large debris (typically food debris) was removed with forceps.', 'Next, we gathered various tissues from dead female marmosets (#5-8), which included those that had descended from ectoderm (ear auricle, fingernail, skin, and brain), endoderm (liver, lung, pancreas, and thymus), and mesoderm (blood, spleen, kidney, heart, biceps femoris muscle, bone marrow, mesenteric lymph node, and ovary). These tissues were thoroughly washed in PBS to eliminate extraneous blood prior to DNA extraction.']",Invasif,"Le protocole implique la collecte d'échantillons à partir d'animaux vivants et morts, ce qui entraîne un contact direct avec les animaux vivants et une manipulation de ceux-ci. Cela remplit donc le critère d'invasivité.",['3'],100% - La méthodologie est explicitement détaillée et les termes sont clairs.,Oui,"Le titre de l'article contient explicitement la déclaration 'Noninvasive genotyping of common marmoset (Callithrix jacchus) by fingernail PCR', ce qui indique que le protocole est non invasif."
Piles of scats for piles of DNA deriving DNA of lizards from their faeces,Collecte de fèces chez les mammifères,Fèces,"['Stress potentiellement causé aux animaux par la manipulation de leurs fèces', 'Possibilité de modification du comportement naturel des animaux']","['Scats were sampled from two sources...', 'Scat freshness was assessed based on colour, moisture, compaction, by the presence of a uric acid spot, and by comparison with scats of known age from the captive colony.', 'In each case, scats were collected using forceps that had been cleaned in 90% ethanol between each collection', 'Scats were either frozen at -20°C (Frantz, Pope et al. 2003)', 'Scats to be dried were sprayed with 90% ethanol and then stored on silica beads']",Invasif,"Le protocole implique la collecte de fèces, ce qui peut être considéré comme invasif selon les critères spécifiques aux mammifères. La collecte est décrite comme étant effectuée à partir de deux sources, mais il n'y a pas suffisamment d'informations pour déterminer si cette collecte est systématique ou non. Cependant, l'utilisation d'un terme générique comme 'sampled' peut suggérer une collecte plus invasive.",[1],"75% - Il y a des signaux d'alarme présents, mais il manque des informations critiques pour évaluer pleinement l'impact du protocole.",Non,Le titre de l'article ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que ce protocole est non invasif.
Piles of scats for piles of DNA deriving DNA of lizards from their faeces,Collecte de fèces chez les reptiles,Scats (fèces),"['Stress pour les animaux', 'Blessures potentielles']","['For captive samples, where an extraction method was successful, both scat and blood samples from a subset of two lizards were sequenced for the mtDNA', 'Once we identified a method for deriving genotypes from wild E. stokesii scats']",Invasif,"Le protocole implique la capture et la manipulation d'animaux vivants pour obtenir des échantillons de sang et de fèces, ce qui cause du stress et potentiellement des blessures. Cela remplit le critère d'invasivité 'Contact direct avec l'animal vivant'.",[],100% - La méthodologie est explicitement détaillée.,Non,"Le titre de l'article mentionne 'Piles of scats for piles of DNA: Deriving DNA of lizards from their faeces', ce qui suggère que le protocole est non invasif. Cependant, il n'y a pas de déclaration explicite dans le corps de l'article affirmant que la collecte de fèces chez les reptiles est non invasive."
gyv205,Échantillonnage de poils chez les mammifères,Poils,"['Stress potentiellement causé aux animaux lors de la capture des poils', 'Perturbation possible du comportement naturel des animaux']","['Researchers often target the fur of mammals when conducting studies that rely on noninvasive genetic sampling', 'Hairs collected from hair-snaring devices provide investigators physical evidence of species presence']",Invasif,"Le protocole implique la capture de poils à l'aide de dispositifs pièges à poils, ce qui est considéré comme invasif selon les critères définis.",['3'],100%,Non,"Le titre de l'article mentionne explicitement 'An evaluation of hair-snaring devices for small-bodied carnivores in southwest China', ce qui implique une évaluation des dispositifs d'échantillonnage de poils pour les petits carnivores, mais ne contient pas de déclaration globale de non-invasivité. De plus, le corps de l'article ne contient pas de phrase indiquant explicitement que le protocole en question est non invasif."
1-s2.0-S1616504713000657-main,Collecte de fèces de loups,Fèces de mammifères,"[""Stress potentiellement causé par la perturbation de l'habitat naturel des loups."", 'Impact sur le marquage territorial.']","['One-hundred and seven fresh (6 ≤ h ≤ 48) wolf faecal samples were collected and stored in 99% ethanol during intensive snow-tracking surveys of resident wolf packs, whose territory was identified by means of snow-tracking and radio-telemetry.']",Invasif,"La collecte est intensive et systématique, ce qui peut perturber le comportement naturel des animaux. De plus, la collecte de fèces sur l'ensemble du territoire des loups peut être considérée comme invasive selon les règles spécifiques pour les fèces de mammifères.",[2],100%,Non,"Le titre de l'article ne mentionne pas explicitement que le protocole est non invasif. De plus, il n'y a aucune phrase dans le corps de l'article qui indique explicitement ou implicitement que la collecte de fèces de loups est non invasive."
046.089.0410,Collecte d'ADN de renard roux,Fèces et poils,"[""Perturbation significative de l'habitat"", 'Modification du comportement naturel']","[""Nous avons collecté des données sur les renards roux pendant octobre 2012-mai 2013 et octobre 2013-juin 2014 en utilisant des méthodes de surveillance non invasives, y compris les stations de caméras et les dispositifs d'accrochage de poils (Figura et Knox 2010), dans le cadre d'un projet de recherche sur les carnivores forestiers (McFadden-Hiller et Hiller 2014, McFadden-Hiller et Hiller 2015)."", ""En plus des échantillons de poils collectés aux stations de caméras, nous avons effectué des recherches pour collecter des échantillons de fèces près des stations de caméras et dans d'autres zones avec des signes de présence de renards. Les échantillons de poils ont été collectés en utilisant des enveloppes en papier et les échantillons de fèces ont été collectés dans des tubes qui contenaient 95% d'alcool éthylique.""]",Invasif,"Le protocole mentionne la recherche de fèces dans des zones spécifiques, ce qui peut être considéré comme une perturbation de l'habitat et une modification du comportement naturel.",[1],85% - Les termes utilisés dans le protocole sont clairs et permettent une déduction solide.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que le protocole en question est non invasif.
Applying DNA barcoding to conservation practice a case study of endangered birds and large mammals i,Collecte d'échantillons de fèces et de sang chez les mammifères,Fèces et échantillons de sang,"['Perturbation du comportement naturel', ""Modification de l'habitat"", ""Stress pour l'animal"", 'Blessures potentielles']","['Tissue and faeces samples were stored at -20 °C in 95% ethanol (24 ? 3 individuals).', 'Twenty fresh fecal samples were collected.', 'Some blood samples were collected via physical examination.']",Invasif,"Le protocole mentionne la collecte de fèces et d'échantillons de sang, ce qui peut être invasif selon les règles spécifiques aux mammifères. Il n'y a pas d'indication que la collecte est opportuniste ou ponctuelle.",[3],80% - Justification : La présence de signaux d'alarme et l'absence de signaux de non-invasivité permettent une déduction solide.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que ce protocole est non invasif.
Applying DNA barcoding to conservation practice a case study of endangered birds and large mammals i,Collecte d'échantillons de plumes et de poils chez les mammifères,Plumes et échantillons de poils,[],['Feather (four individuals) and fur samples (seven individuals) were freeze-dried.'],Non invasif,"Le protocole mentionne uniquement la collecte de plumes et d'échantillons de poils, qui sont considérés comme non invasifs selon les règles spécifiques aux mammifères. Il n'y a pas de mention de capture ou de manipulation des animaux.",[],"80% - La justification est basée sur l'interprétation des règles spécifiques aux mammifères, mais il manque des détails sur la méthode de collecte.",,
s10344-015-0936-2,Collecte d'échantillons non invasifs chez les mammifères,Cheveux et fèces,"['Stress pour les animaux', 'Perturbation du comportement naturel']","['We collected a total of 63 non-invasive samples (30 hair and 33 scat samples).', 'DNA sampled non-invasively through hair and scats']",Invasif,"Le protocole implique la capture d'échantillons de cheveux et de fèces, ce qui peut être considéré comme invasif selon les critères définis. La collecte de fèces est considérée comme invasive si elle est systématique ou exhaustive sur le même territoire.",['2'],"80% - Justification : La méthodologie est explicitement décrite comme non invasive, mais il manque des informations sur la fréquence et l'intensité de l'échantillonnage.",Non,Le titre de l'article mentionne 'monitoring non-invasive' mais ne spécifie pas explicitement que la collecte d'échantillons non invasifs chez les mammifères est non invasive. Le corps de l'article ne contient pas de phrase indiquant explicitement que ce protocole est non invasif.
1-s2.0-S0048969715302552-main,Collecte d'échantillons d'ADN d'otarie,Fèces et poils arrachés,"['Stress potentiellement causé par la manipulation de fèces fraîches', 'Perturbation possible du marquage territorial', 'Stress pour les animaux', 'Blessures potentielles']","['Each site was visited 12 times during a given year. At each site, we only collected fresh otter feces (up to 24 h old). All fresh otter feces were preserved in sterile 50 ml vials with 100% ethanol and stored on ice during the float; samples were refrigerated for long-term storage.', 'Hairs plucked from individual otters were collected in sterile 2 ml tubes filled with dry silica', 'In 2010, for all three river reaches, we collected a total of 314 scats Of the 314 feces collected in 2010, 160 (51%) yielded river otter DNA.', 'In 2010, for all three river reaches, we collected a total of 18 hair samples.', 'In 2011, we collected a total of 24 hair samples.']",Invasif,"Le protocole mentionne la collecte de fèces fraîches et de poils arrachés, ce qui indique une manipulation directe des animaux. De plus, l'utilisation du terme 'all' pour décrire les échantillons collectés suggère une collecte exhaustive et potentiellement perturbatrice.",[3],85% - Les termes utilisés dans le protocole sont clairs et permettent une évaluation solide de l'invasivité.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que ce protocole est non invasif.
Population size estimation of an Asian elephant population in eastern Cambodia through non-invasivem,Sampling design followed the principles of closed capture-mark-recapture studies with five sampling sessions,Fèces,"['Stress pour les animaux', 'Blessures potentielles']","[""Upon encountering elephant signs, survey teams collected samples from all 'fresh' and 'reasonably-fresh' dung piles following the protocols of Hedges and Lawson (2006).""]",Invasif,"Le protocole implique la capture et le marquage des éléphants, ce qui cause du stress et potentiellement des blessures. Cela remplit donc le critère d'invasivité 'Contact direct avec l'animal vivant'.",[1],95% - Les termes 'closed capture-mark-recapture' et 'marking' sont explicites dans le protocole.,Manque d'informations,"Le titre mentionne 'non-invasive mark-recapture sampling', mais il n'y a pas de déclaration explicite ou implicite dans le corps de l'article concernant la non-invasivité du protocole spécifique détecté comme invasif."
WR13005,Collecte et analyse d'ADN à partir de fèces,Fèces,"['Perturbation du comportement naturel', ""Impact sur l'habitat""]","['Each collection site was split into two 5-km long transects, at least 5 km apart. Four spatially separated scats were collected at every 1-km point along these transects.', 'A small amount (2 cm 2 ) of the outer surface of each scat was scraped and removed with a sterile scalpel to be used in the DNA extraction.']",Invasif,"Le protocole implique la collecte systématique et exhaustive de fèces sur un territoire donné, ce qui peut affecter le comportement naturel des animaux et perturber leur habitat. Cela remplit donc le critère d'invasivité.",[],85% - La méthodologie est détaillée mais il manque des informations critiques pour évaluer complètement l'impact.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que ce protocole est non invasif.
WR13005,Collecte et analyse d'ADN à partir d'échantillons de tissu,Échantillons de tissu,"['Stress', 'Blessures potentielles']","['We generated 20 complete mitochondrial ND2 sequences from tissue samples from eight medium-large macropod species found in north-eastern Australia (Table 1). Two tissue samples with the greatest geographical separation within Queensland were chosen for each species.', 'DNA was extracted from tissue samples as described by Nicholls et al. (2000).']",Invasif,"Le protocole implique la capture et la manipulation d'animaux vivants pour prélever des échantillons de tissu, ce qui cause du stress et potentiellement des blessures.",[3],100%,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que ce protocole est non invasif.
1-s2.0-S1616504712000778-main,Échantillonnage de fèces par PCR-RFLP,Fèces,"['Impact sur le marquage territorial', 'Stress potentiellement causé par la collecte']","['faecal DNA samples identified by the PCR-RFLP method and with a complete genotype (Mm0126, Mf013) were analysed', 'Out of 849 faecal samples collected from the entire sympatric distribution range of both marten species in the northern Iberian Peninsula']",Invasif,"La collecte de fèces a été effectuée sur l'ensemble de la distribution sympatrique des deux espèces de martres dans le nord de la péninsule ibérique, ce qui indique une collecte systématique et exhaustive. Cela remplit le critère d'invasivité 'Perturbation significative de l'habitat'.",[1],95% - Les informations sont claires et permettent une évaluation solide de l'invasivité.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif (Échantillonnage de fèces par PCR-RFLP) n'est pas mentionné dans le titre et il n'y a aucune phrase dans le corps de l'article qui indique explicitement que ce protocole est non invasif.
Minhs_et_al_2015_Kinship,Collecte de fèces pour tous les individus connus,Fèces,"['Perturbation du marquage territorial', 'Stress potentiellement causé par la collecte de fèces']","['We collected fecal samples for all known individuals', 'We extracted fecal DNA using the QIAampDNA Stool Kit']",Invasif,"La collecte de fèces pour tous les individus connus indique une approche systématique et exhaustive, ce qui est invasif selon les critères spécifiques aux mammifères.",[1],95% - Les termes utilisés dans le protocole sont explicites et permettent une déduction solide.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole de collecte de fèces est décrit mais il n'y a pas de mention explicite ou implicite qu'il est non invasif dans le corps de l'article.
WR13073_Berry_SlowRecruitment,Collecte d'échantillons de poils,Poils,['Stress potentiellement causé par la vérification quotidienne des pièges collants'],"['Nous avons utilisé huit transects... pour entrer dans une parcelle de surveillance contenant des appâts olfactifs et audio', 'Les pièges collants étaient vérifiés quotidiennement et les poils étaient retirés du ruban avec des pinces stérilisées...']",Invasif,"Le protocole mentionne la vérification quotidienne des pièges collants, ce qui indique une fréquence élevée et régulière d'interaction avec les animaux. Cela remplit le critère d'invasivité 'Modification du comportement naturel'.",[3],95% - La méthodologie est explicitement détaillée et contient des termes clairs indiquant l'invasivité.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que la collecte d'échantillons de poils est non invasive.
quinn2014,Collecte de poils à l'aide de fils barbelés,Poils,"['Perturbation du comportement naturel', 'Blessures potentielles causées par les fils barbelés']","['In 2013, in addition to the cameras, we deployed one strand of four-pronged barbed wire at two locations, averaging 0.18 km apart on each of the six streams.', 'A crew checked each wire for the presence of hair, collected any hair present, sterilized the wire using a butane torch, repaired any damage incurred to the wire, and collected camera memory cards.']",Invasif,"Le protocole implique la manipulation de l'environnement pour collecter des échantillons, ce qui peut perturber le comportement naturel des animaux. De plus, il y a un contact direct avec les poils des animaux via les fils barbelés.",['3'],100%,Non,"Le titre de l'article ne mentionne pas explicitement que le protocole est non invasif. De plus, dans le corps de l'article, il est mentionné que 'Collecte de poils à l'aide de fils barbelés' est un protocole invasif."
quinn2014,Collecte opportuniste de cheveux individuels,Cheveux individuels,[],"['In 2013, a total of 417 individual hair samples were collected on 97 different combinations of stream and day.']",Non invasif,La collecte de cheveux individuels est considérée comme non invasive car elle ne nécessite pas de contact direct avec l'animal vivant et n'entraîne pas de modification du comportement naturel ou de perturbation significative de l'habitat.,[],80% - Justification : La méthodologie est implicitement forte car elle permet une déduction solide basée sur les mots-clés 'individual' et 'opportuniste'.,,
Molecular Ecology Resources - 2014 - Vo - Protocols for metagenomic DNA extraction and Illumina amplicon library,Échantillonnage de fèces chez les oiseaux,Fèces,"[""Stress pour l'animal"", 'Blessures potentielles']","['We obtained faecal samples through sudden lifting of the nestling from the nest, placement of the nestling on a sterilized surface and encouragement of nestling movement (e.g. flapping and crawling) to elicit voidance.', 'NGS analysis of DNA from faecal and swab samples ... contains host, prey and microbial genetic material.']",Invasif,"Le protocole implique la capture et la manipulation de l'animal vivant pour obtenir les échantillons de fèces, ce qui cause du stress et potentiellement des blessures.",[3],100% - La méthodologie est explicitement détaillée et les termes sont clairs.,Non,"Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole d'échantillonnage de fèces chez les oiseaux est décrit dans le corps de l'article, mais il n'y a pas de phrase indiquant explicitement que ce protocole est non invasif."
Molecular Ecology Resources - 2014 - Vo - Protocols for metagenomic DNA extraction and Illumina amplicon library,Analyse NGS d'ADN à partir de fèces et d'échantillons de frottis,Faeces et échantillons de frottis,['Perturbation possible du comportement naturel des animaux dont les échantillons sont prélevés.'],"['NGS can simultaneously sequence target loci in metagenomic extracts from hundreds to thousands of individuals.', 'NGS analysis of DNA from faecal and swab samples ... contains host, prey and microbial genetic material.']",Invasif,"Le protocole implique l'analyse d'ADN à partir d'échantillons de fèces et de frottis, ce qui peut être considéré comme invasif selon les critères généraux car il y a contact direct avec l'animal vivant (même si les animaux ne sont pas capturés ou manipulés). Cependant, il n'y a pas suffisamment d'informations pour déterminer si la collecte est opportuniste ou systématique.",[],"70% - Implicite fort car il y a des éléments permettant une déduction solide, mais il manque des informations critiques sur la fréquence et l'intensité de l'échantillonnage.",Non,Le titre de l'article ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que ce protocole est non invasif.
Piersonetal2016,Pièges à ADN avec appâts (lure sticks),Pièges à ADN avec appâts (lure sticks),['Modification du comportement naturel des animaux'],"['The detection rates of wildcats with the lure stick method in the Kellerwald-Edersee National Park in central Germany were 0.03-0.15 captures/100 trap nights.', 'To our experience, one trained person can easily handle between 20 and 50 sticks during a sampling period.']",Invasif,"Le protocole implique l'utilisation d'appâts (lure sticks) pour augmenter le rendement des pièges à ADN, ce qui modifie le comportement naturel des animaux. Cela remplit le critère d'invasivité 'Utilisation d'appâts ou leurres modifiant le comportement'.",[2],100% - La méthodologie est explicitement détaillée et les termes utilisés sont clairs.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Il n'y a pas de phrase indiquant explicitement que les pièges à ADN avec appâts sont non invasifs dans le corps de l'article.
Piersonetal2016,Collecte d'échantillons d'eau,Eau,[],"['We constructed leaf litterbags measuring approximately 25 cm × 40 cm from 1 cm² plastic mesh.', 'In March 2013 and September 2013, we collected water samples from five streams...']",Non invasif,"Le protocole décrit la collecte d'échantillons d'eau à partir de cinq streams, ce qui ne nécessite pas de contact direct avec les animaux vivants et n'entraîne pas de modification du comportement naturel ou de perturbation significative de l'habitat.",[],"80% - La méthodologie est explicitement décrite, mais il manque des informations sur le contexte environnemental.",,
J Wildl Manag - 2014 - Davidson - Estimating cougar densities in northeast Oregon using conservation detection dogs,Collecte d'échantillons de tissus et de poils chez les cougars,Tissus (biologging) et poils,"['Stress', 'Blessures potentielles']","[""Récemment, Russell et al. (2012) ont estimé les densités de pumas dans le Montana par analyse d'ADN en utilisant une combinaison de biodarting pour obtenir des échantillons de tissus de pumas coincés par des chiens, et de pistage à rebours des pumas pendant l'hiver pour obtenir des échantillons de poils.""]",Invasif,"Le protocole implique la capture de pumas par des chiens pour obtenir des échantillons de tissus, ce qui cause du stress et potentiellement des blessures. Cela remplit le critère d'invasivité 'Contact direct avec l'animal vivant'. De plus, l'utilisation de chiens pour pister les pumas modifie leur comportement naturel.",[3],100% - La méthodologie est explicitement détaillée et les termes sont clairs.,Non,"L'article ne mentionne pas explicitement que la méthode de collecte d'échantillons de tissus et de poils chez les cougars est non invasive. Il est même fait référence à une autre étude qui a utilisé cette méthode, mais sans en préciser le caractère invasif ou non."
J Wildl Manag - 2014 - Davidson - Estimating cougar densities in northeast Oregon using conservation detection dogs,Collecte de fèces chez les mammifères,Fèces,"['Perturbation du marquage territorial', 'Modification du comportement naturel']","['Nous avons collecté toutes les fèces indépendamment de leur état', 'Nous avons collecté des fèces pendant la période du 8 juin au 4 juillet 2011']",Invasif,"La collecte de toutes les fèces, indépendamment de leur état, est considérée comme invasive car elle peut affecter le marquage territorial et perturber le comportement naturel des animaux. Cependant, la collecte de fèces pendant une période précise est considérée comme non invasive.","[1, 2]","95% - Les termes 'toutes' et 'collectées' sont explicites et indiquent clairement l'invasivité de la méthode. Cependant, la collecte de fèces pendant une période précise est considérée comme non invasive.",Non,"L'article ne contient pas de déclaration explicite ou implicite indiquant que la collecte de fèces chez les mammifères est non invasive. Au contraire, l'analyse externe a détecté ce protocole comme étant invasif."
Ecosphere - 2015 - Proffitt - Integrating resource selection into spatial capture‐recapture models for large carnivores,Échantillonnage d'ADN chez les mammifères,"Cheveux (hair), fèces (scat) et échantillons musculaires (muscle samples)","['Stress pour les animaux', ""Blessures potentielles causées par la capture et le prélèvement d'échantillons"", 'Perturbation du comportement naturel des animaux']","['Mountain lion hair, scat, and muscle samples were collected by trackers and houndsmen for genetic analysis to identify individuals.', 'When a fresh mountain lion track was located, the houndsmen would release trained hounds to locate and tree the mountain lion. Muscle samples were collected from treed animals using biopsy darts fired from a CO2-powered rifle (Palmer Cap-Chur brand model 1200c).', 'When older mountain lion tracks were located, a tracker or houndsmen would backtrack the tracks and collect any hair or scat samples along the tracks.', 'During the mandatory check, officers collected a muscle sample from each harvested animal.']",Invasif,"Le protocole implique la capture et la manipulation directe des animaux (pistage, utilisation de chiens d'entraînement pour localiser et poursuivre les pumas, prélèvement d'échantillons musculaires à l'aide de fléchettes de biopsie tirées avec un fusil CO2) ainsi que la collecte de fèces de manière systématique le long des pistes. Cela remplit plusieurs critères d'invasivité : contact direct avec l'animal vivant, capture ou manipulation de l'animal vivant et modification du comportement naturel.","[1, 3]",95% - La méthodologie est détaillée et les termes utilisés sont clairs.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole d'échantillonnage d'ADN chez les mammifères est décrit dans l'article mais il n'y a pas de mention explicite ou implicite qu'il est non invasif.
Challenges in the use of genetic mark-recapture to estimate the population size of Bwindi mountain g,Collecte de fèces chez les mammifères,Fèces,"['Perturbation du comportement naturel', ""Perturbation de l'habitat""]","['A total of 298 and 312 fecal samples were collected during Sweeps 1 and 2, respectively.', 'When a recent gorilla trail (less than 5-7 days old) was found, it was followed until nest sites were located.', 'Fecal samples for genetic analysis were collected from all encountered nesting sites of habituated and unhabituated groups and lone silverbacks.']",Invasif,"Le protocole implique la recherche de sites de nidification et la collecte de fèces à partir de tous les sites rencontrés, ce qui indique une perturbation significative de l'habitat. De plus, il n'est pas spécifié si les échantillons ont été collectés après le départ des gorilles. La collecte de fèces est décrite comme opportuniste, ce qui indique qu'elle n'est pas systématique ou exhaustive. Il n'y a pas de mention de capture ou de manipulation des animaux.",['2'],85%,Non,Le titre de l'article mentionne 'genetic mark-recapture' mais ne fait pas de déclaration explicite sur la non-invasivité de cette méthode. Le corps de l'article ne contient pas de phrase indiquant explicitement que la collecte de fèces chez les mammifères est non invasive.
